cod_procedimiento;consejeria;org_instructor;denominacion;descripcion;siaci;numero_expedientes
282;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Producto, Resolucion de 02-06-2017;Resolucion  de 02-06-2017, de la Directora General de Turismo, Comercio y Artesania,  por la que se convocan los Premios Regionales de Artesania de Castilla- La Mancha;SKLH;6
363;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Cocina Castellano-Manchega Tradicional 2018. Resolución de 03/05/2018;Resolución de 03/05/2018, de la Dirección General de Turismo, Comercio y Artesanía, por la que se convocan los Premios Miguel de Cervantes de Gastronomía, para el año 2018;SKM9;6
490;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Impulso a la artesania. Resolución de 07/06/2019;Resolución de 07/06/2019, de la Dirección General de Turismo, Comercio y Artesania, por la que se convocan las ayudas destinadas a la promocion de la actividad productiva y comercial del sector artesano;SL1F;6
204;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Emprendimiento, Resolución de 25/05/2016;Resolución  de 25/05/2016, de la Directora General de Turismo, Comercio y Artesanía,  por la que se convocan los Premios Regionales de Artesanía de Castilla- La Mancha Miguel de Cervantes;SKLI;5
218;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Cocina Castellano-Manchega de Vanguardia. Resolución de 05/07/2016;Resolución de 05/07/2016, de la Dirección General de Turismo, Comercio y Artesanía, por la que se convocan los Premios Miguel de Cervantes de Gastronomía, para el año 2016;SKM9;5
283;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Diseño Aplicado, Resolucion de 02-06-2017;Resolucion  de 02-06-2017, de la Directora General de Turismo, Comercio y Artesania,  por la que se convocan los Premios Regionales de Artesania de Castilla- La Mancha;SKLG;5
418;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;2018-DKXW-Modificación de la capacidad del albergue turístico;Decreto 73/2018, de 16 de octubre, por el que se establece la ordenación de los albergues turísticos en Castilla-La Mancha.;DKXW;5
485;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Diseño Aplicado, Resolucion de 16/05/2019;Resolucion de 16/05/2019, de la Directora General de Turismo, Comercio y Artesania, por la que se convocan los Premios Regionales de Artesania de Castilla-La Mancha;SKLG;5
205;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Producto, Resolución de 25/05/2016;Resolución  de 25/05/2016, de la Directora General de Turismo, Comercio y Artesanía,  por la que se convocan los Premios Regionales de Artesanía de Castilla- La Mancha Miguel de Cervantes;SKLH;4
318;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Carta de Vinos2017. Resolución de 02/11/2017;Resolución de 02/11/2017, de la Dirección General de Turismo, Comercio y Artesanía, por la que se convocan los Premios Miguel de Cervantes de Gastronomía, para el año 2017;SKM9;4
366;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Diseño Aplicado, Resolucion de 23/07/2018;Resolucion  de 23/07/2018, de la Directora General de Turismo, Comercio y Artesania,  por la que se convocan los Premios Regionales de Artesania de Castilla- La Mancha;SKLG;4
110;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Ley 2/2010, de 13 de mayo, de Comercio de Castilla-La Mancha;Comunicación de datos al registro de franquiciadores;SIHW;3
368;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Emprendimiento, Resolucion de 23/07/2018;Resolucion  de 23/07/2018, de la Directora General de Turismo, Comercio y Artesania,  por la que se convocan los Premios Regionales de Artesania de Castilla- La Mancha;SKLI;3
410;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Impulso a la artesania. Resolución de 10/07/2018;Resolución de 10/07/2018, de la Direccion General de Turismo, Comercio y Artesania, por la que se convocan las ayudas destinadas a la promocion de la actividad productiva y comercial del sector artesano;SL1F;3
487;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Emprendimiento, Resolucion de 16/05/2019;Resolucion  de 16/05/2019, de la Directora General de Turismo, Comercio y Artesania,  por la que se convocan los Premios Regionales de Artesania de Castilla- La Mancha;SKLI;3
587;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;2020-DKOW-Modificación de actividades como empresa de turismo activo-ecoturismo;Decreto 5/2020, de 3 de marzo, por el que se regula el turismo activo y el ecoturismo en Castilla-La Mancha;DKOW;3
105;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Ley 2/2010, de 13 de mayo, de Comercio de Castilla-La Mancha;Comunicación de Venta Automática;SJPV;2
316;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Premio Cocina Castellano-Manchega Tradicional 2017. Resolución de 02/11/2017;Resolución de 02/11/2017, de la Dirección General de Turismo, Comercio y Artesanía, por la que se convocan los Premios Miguel de Cervantes de Gastronomía, para el año 2017;SKM9;2
1145;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;2024-SLZG-Declaración de municipio turístico. Decreto 3/2024;Decreto 3/2024, de 22 de enero, por el que se regula el Municipio Turístico en Castilla-La Mancha.;SLZG;2
107;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Ley 2/2010, de 13 de mayo, de Comercio de Castilla-La Mancha;Declaración de Zona de Gran Afluencia Turística;S432;1
439;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;2018-DKY1-Modificación de la capacidad de área para autocaravanas;Decreto 94/2018, de 18 de diciembre, por el que se regula la ordenación de los campings y de las áreas para autocaravanas de Castilla-La Mancha;DKY1;1
589;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;2020-SL0I-Reconocimiento de cualificación profesional como guía de turismo en Castilla-La Mancha por profesionales de la UE;Decreto 7/2020, de 10 de marzo, regulador de las profesiones turísticas y del inicio de actividad de las empresas de información turística en Castilla-La Mancha;SL0I;1
1122;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;2023-KM6M-Ayto Alcázar S. Juan. Rehabilitación Convento Santa Clara Fase I;Decreto 290/2023, de 28 de diciembre, por el que se regula la concesión directa de una subvención de carácter excepcional al Ayuntamiento de Alcázar de San Juan (CR), para completar la fase I de rehabilitación del antiguo convento de Santa Clara.;KM6M;1
1126;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;2023-KM6R-Ayto Viso del Marqués. Acondicionamiento de la Hospedería Almazara Fase II;Decreto 291/2023, de 28 de diciembre, por el que se regula la concesión directa de una subvención de carácter excepcional al Ayuntamiento de Viso del Marqués (Ciudad Real), para acometer la II fase de acondicionamiento de la Hospedería Almazara.;KM6R;1
1127;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;2023-KM6S-Ayto Almansa. Mejora de Accesibilidad en el Castillo;Decreto 285/2023, de 26 de diciembre, por el que se regula la concesión directa de una subvención de carácter excepcional al Ayuntamiento de Almansa (Albacete), para acometer actuaciones de mejora de la accesibilidad en el castillo de dicha localidad.;KM6S;1
1207;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Subvención Asociación Ruta del Vino Almansa ;Subvención a favor de la Asociación Ruta del Vino Almansa ;PLV6;1
1208;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Subvención Asociación Ruta del Vino de la Mancha;Subvención a favor de la Asociación Ruta del Vino de la Mancha;PLNU;1
1209;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Subvención Asociación Ruta del Vino La Manchuela;Subvención a favor de la Asociación Ruta del Vino La Manchuela;PLNT;1
1210;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Subvención Asociación Ruta del Vino Méntrida-Toledo;Subvención a favor de la Asociación Ruta del Vino Méntrida-Toledo;PLWT;1
1211;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Subvención Asociación Ruta del Vino Valdepeñas;Subvención a favor de la Asociación Ruta del Vino Valdepeñas;PLNV;1
1213;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Subvención Federación Regional Empresarios Hostelería y Turismo CLM;Subvención nominativa a favor de la Federación Regional de Empresarios de Hostelería y Turismo de Castilla-La Mancha.;KM3N;1
1254;Consejeria de economia, empresas y empleo;Direccion general de turismo, comercio y artesania;Subvención directa Asociación Los Caminos del Azafrán de la Mancha;Subvención directa a favor de la Asociación Los Caminos del Azafrán de la Mancha;KM4M;1
155;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Decreto 384/1995 de 10/03/1995;Servicio de Mediación, Arbitraje y Conciliación (SMAC) de la solicitud de conciliación administrativa previa a la vía judicial laboral;SKA4;127221
39;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;2012-SITX-Expedición de Certificado de Profesionalidad. Orden de 24/09/2012;Orden de 24/09/2012, de la Consejería de Empleo y Economía por la que se regula el Registro de Certificados de Profesionalidad y Acreditaciones Parciales Acumulables expedidas en Castilla-La Mancha y se establece el procedimiento de inscripción y expedición;SITX;65740
41;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Orden de 17/10/2012 (Modificada por la Orden de 12/08/2013 y actualmente por la Orden de 14/09/2016);Registro de Formadores para la impartición de acciones formativas conducentes a la obtención de certificados de profesionalidad de Castilla-La Mancha;SJWK;7643
880;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Procedimiento abierto. Real Decreto 143/2021;Real Decreto 143/2021, de 9 de marzo, por el que se modifica el Real Decreto 1224/2009, de 17 de julio, de reconocimiento de las competencias profesionales adquiridas por experiencia laboral;SJLK;6069
8;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención Sociosanitaria a Personas dependientes en Instituciones Sociales. Orden de 29/12/2010;Orden de 29/12/2010, modificada por Orden 22/12/2011.;SJLK;4489
11;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;2009-SITX-Expedición de Certificado de Profesionalidad. Orden de 23/09/2009;;SITX;3800
79;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención Sociosanitaria a personas dependientes en Instituciones Sociales. Orden de 20/06/2014;Orden de 20/06/2014, de la Consejería de Empleo y Economía y de la Consejería de Educación, Cultura y Deportes, por la que se realiza la convocatoria del procedimiento para la evaluación y acreditación de competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación en CLM.;SJLK;3661
166;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;PreAcredita (Preinscripción). Orden de 16/03/2015.;Orden de 16/03/2015, de la Consejería de Empleo y Economía, por la que se regula la preinscripción en el procedimiento de acreditación de competencias profesionales adquiridas mediante experiencia laboral en Castilla-La Mancha.;SKG7;3559
80;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención sociosanitaria a personas en el domicilio. Orden de 20/11/2014;Orden de 20/11/2014, de la Consejería de Empleo y Economía y de la Consejería de Educación, Cultura y Deportes, por la que se realiza la convocatoria para la evaluación y acreditación de las competencias profesionales para de Atención sociosanitaria a personas en el domicilio en la Comunidad Autónoma de CLM.;SJLK;3204
7;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención Sociosanitaria a Personas en el Domicilio. Orden de 29/12/2010;Orden de 29/12/2010, modificada por Orden 22/12/2011.;SJLK;3140
284;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Operaciones de vigilancia y extinción de incendios forestales y apoyo a contingencias en el medio natural y rural. Orden de 14/07/2017;Orden de 14/07/2017, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;2114
40;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;2012-SKCK-Expedición de Acreditación de Unidades de Competencia. Orden de 24/09/2012;Orden de 24/09/2012, de la Consejería de Empleo y Economía por la que se regula el Registro de Certificados de Profesionalidad y Acreditaciones Parciales Acumulables expedidas en  Castilla-La Mancha y se establece el procedimiento de inscripción y expedición;SKCK;1989
285;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Repoblaciones forestales y tratamientos silvícolas. Orden de 14/07/2017;Orden de 14/07/2017, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;992
288;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención sociosanitaria a personas en el domicilio. Orden de 14/07/2017;Orden de 14/07/2017, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;926
186;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Contratos para la formación y el aprendizaje. Decreto 213/2015, de 27 de octubre;Subvenciones para la formalización de contratos para la formación y el aprendizaje para jóvenes sin cualificación incluidos dentro del Plan Extraordinario por el Empleo del Decreto 213/2015, de 27 de octubre;SKJ6;875
9;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Educación infantil. Orden de 29/12/2010;Orden de 29/12/2010, modificada por Orden 22/12/2011.;SJLK;829
327;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Línea 1. Contratos para la formación y el aprendizaje. Decreto 21/2018, de 17 de abril;Decreto 21/2018, de 17 de abril, por el que se regula la concesión directa de subvenciones para la cualificación y la inserción de personas desempleadas en el mercado laboral. Subvenciones para la formalización de contratos para la formación y el aprendizaje;SKJ6;761
287;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención sociosanitaria a personas dependientes en instituciones sociales. Orden de 14/07/2017;Orden de 14/07/2017, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;714
375;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Transporte sanitario. Orden de 24/07/2018;Orden de 24/07/2018, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;705
244;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Contratos para la formación y el aprendizaje. Decreto 81/2016, de 27 de diciembre;Decreto 81/2016, de 27 de diciembre, por el que se modifica el Decreto 213/2015, de 27/10/2015, por el que se aprueba el Plan Extraordinario por el Empleo en Castilla-La Mancha. Subvenciones para la formalización de contratos para la formación y el aprendizaje para jóvenes sin cualificación;SKJ6;624
424;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Línea 1. Contratos para la formación y el aprendizaje. Decreto 97/2018, de 27 de diciembre;Decreto 97/2018, de 27 de diciembre, por el que se regula la concesión directa de subvenciones para la cualificación y la inserción de personas desempleadas en el mercado laboral. Línea 1: Ayudas para la formalización de contratos para la formación y el aprendizaje.;SKJ6;590
230;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Operaciones de fontanería y calefacción-climatización doméstica. Orden de 25/11/2016;Orden de 25/11/2016, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;453
194;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;DECRETO 214/2015;Solicitud de certificado de denominación no coincidente para sociedad cooperativa de Castilla-La Mancha.;SIJH;420
234;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Servicios para el control de plagas. Orden de 25/11/2016;Orden de 25/11/2016, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;389
226;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Montaje y mantenimiento de instalaciones eléctricas de baja tensión. Orden de 25/11/2016;Orden de 25/11/2016, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;384
767;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención Sociosanitaria A Personas En El Domicilio. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;356
126;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Decreto 178/2005;Decreto 178/2005, de 25-10-2005 por el que se aprueba el Reglamento de Organización y Funcionamiento del Registro de Cooperativa de Castilla-La Mancha, que permite la reserva y emisión de certificados de denominaciones de cooperativa;SIJH;349
854;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Línea 1. Contratos para la formación y el aprendizaje. Decreto 86/2021;Decreto 86/2021, de 27 de julio, por el que se modifica el Decreto 97/2018, de 27/12, por el que se regula la concesión directa de subvenciones para la cualificación y la inserción de personas desempleadas en el mercado laboral. Línea 1: Ayudas para la formalización de contratos para la formación y el aprendizaje.;SKJ6;324
764;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Operaciones De Vigilancia Y Extinción De Incendios Forestales Y Apoyo A Contingencias En El Medio Natural Y Rural. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;295
978;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Línea 1. Contratos para la formación en alternancia. Decreto 103/2022, de 13 de Septiembre;Decreto 103/2022, de 13 de Septiembre, por el que se regula la concesión directa de subvenciones para para favorecer el acceso al empleo de calidad de las personas jóvenes y fomentar la cualificación profesional. Línea 1: Ayudas para la formalización de contratos de formación en alternancia;SKJ6;295
386;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención sociosanitaria a personas en el domicilio. Orden de 24/07/2018;Orden de 24/07/2018, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;293
227;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Montaje, puesta en servicio, mantenimiento, inspección y revisión de instalaciones receptoras y aparatos de gas. Orden de 25/11/2016;Orden de 25/11/2016, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;283
768;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención Sociosanitaria A Personas Dependientes En Instituciones Sociales. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;281
224;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Talleres de Empleo. Resolución de 31/08/2016;Programas de formación en alternancia con el empleo. Convocatoria de 2016 para la realización de Talleres de Empleo;SJL0;277
508;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención sociosanitaria a personas en el domicilio. Orden de 29/05/2019;Orden de 29/05/2019, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;250
665;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Actividades De Gestión Administrativa. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;245
1079;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;2023-SKJ6-Línea 1. Contratos para la formación en alternancia. Convocatoria 2023.;Resolución de 28/04/2023, de la Dirección General de Programas de Empleo, por la que se publican los créditos disponibles en el ejercicio 2023, para la concesión de las subvenciones reguladas en el Decreto 103/2022, de 13 de septiembre.;SKJ6;241
385;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención sociosanitaria a personas dependientes en instituciones sociales. Orden de 24/07/2018;Orden de 24/07/2018, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;236
524;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Línea 1. Contratos para la formación y el aprendizaje. Decreto 43/2020;Decreto 43/2020, de 03 de agosto, por el que se regula la concesión directa de subvenciones para la cualificación y la inserción de personas desempleadas en el mercado laboral. Línea 1: Ayudas para la formalización de contratos para la formación y el aprendizaje.;SKJ6;227
666;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Asistencia Documental Y De Gestión En Despachos Y Oficinas. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;205
664;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Actividades Administrativas De Recepción Y Relación Con El Cliente. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;199
759;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Farmacia. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;196
232;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Montaje y mantenimiento de instalaciones frigoríficas. Orden de 25/11/2016;Orden de 25/11/2016, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;172
235;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Gestión de servicios para el control de organismos nocivos. Orden de 25/11/2016;Orden de 25/11/2016, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;172
662;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Operaciones Auxiliares De Servicios Administrativos Y Generales. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;171
507;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Atención sociosanitaria a personas dependientes en instituciones sociales. Orden de 29/05/2019;Orden de 29/05/2019, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;170
228;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Fabricación de elementos aeroespaciales con materiales compuestos. Orden de 25/11/2016;Orden de 25/11/2016, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;156
702;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Montaje Y Mantenimiento De Instalaciones Eléctricas De Baja Tensión. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;150
286;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Información juvenil. Orden de 14/07/2017;Orden de 14/07/2017, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;149
495;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Operaciones de vigilancia y extinción de incendios forestales y apoyo a contingencias en el medio natural y rural. Orden de 29/05/2019;Orden de 29/05/2019, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;148
663;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Operaciones De Grabación Y Tratamiento De Datos Y Documentos. Orden 22/2021 de 22 de febrero;Orden 22/2021 de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación;SJLK;148
1200;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;2024-SKJ6-Línea 1. Solicitud de subvención para la formalización de contrato de formación en alternancia. Convocatoria 2024.;Resolución de 05/06/2024, de la Dirección General de Programas de Empleo, por la que se publican los créditos disponibles en el ejercicio 2024, para la concesión de las subvenciones reguladas en el Decreto 103/2022, de 13 Septiembre.;SKJ6;146
493;Consejeria de economia, empresas y empleo;Direccion general formacion profesional en el ambito laboral;Vigilancia y Seguridad Privada. Orden de 29/05/2019;Orden de 29/05/2019, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación.;SJLK;145
